FID,OBJECTID,ID,NAME,TELEPHONE,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,DIRECTIONS,EMERGTITLE,EMERGTEL,EMERGEXT,CONTDATE,CONTHOW,GEODATE,GEOHOW,HSIPTHEMES,NAICSCODE,NAICSDESCR,GEOLINKID,X,Y,ST_VENDOR,ST_VERSION,GEOPREC,PHONELOC,QC_QA,UCAOA_ID
36,4255,11531107,FIRST ASSIST URGENT CARE OF ELIZABETHTON,423-542-8929,314 ROGOSIN DRIVE, ,ELIZABETHTON,TN,37643,2904,CARTER,47019,"LOCATED ON THE SOUTHWEST SIDE OF ROGOSIN DR, .1 MILES NORTHWEST OF W G ST.", , , ,2009-04-29T00:00:00.000Z,PHONE,2009-04-29T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",123876471,-82.239805,36.3449955,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
37,4256,11531139,PROMPT FAMILY CARE,423-587-2443,1621 WEST MORRIS BOULEVARD,SUITE B,MORRISTOWN,TN,37813,2968,HAMBLEN,47063,"LOCATED ON THE SOUTH SIDE OF W MORRIS BLVD, BETWEEN CARSON ST AND TN-66.", , , ,2009-04-29T00:00:00.000Z,PHONE,2009-04-29T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",91134074,-83.3097382,36.2026449,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
38,4258,11531127,NATIONAL URGENT CARE CLINIC,931-455-4520,1802 NORTH JACKSON STREET,SUITE 8,TULLAHOMA,TN,37388,8218,COFFEE,47031,"LOCATED ON THE NORTHEAST SIDE OF N JACKSON ST, BETWEEN TN-269 AND WASHBURN RD.", , , ,2009-04-29T00:00:00.000Z,PHONE,2009-04-29T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",709507843,-86.2282614,35.3822172,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
39,4266,11531131,FAMILY WALK IN CLINIC,931-707-7117,42 DOOLEY STREET, ,CROSSVILLE,TN,38555,4055,CUMBERLAND,47035,"LOCATED ON THE SOUTHEAST SIDE OF DOOLEY ST, BETWEEN N MAIN ST AND DOOLEY CT.", , , ,2009-04-29T00:00:00.000Z,PHONE,2009-04-29T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",98666829,-85.0328103,35.9590181,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
40,4267,11531132,QUALITY MEDICAL CENTER,931-484-1100,15 WALKER HILL CIRCLE, ,CROSSVILLE,TN,38555, ,CUMBERLAND,47035,LOCATED ON THE NORTHEAST CORNER OF WALKER HILL ST AND N MAIN ST., , , ,2009-04-29T00:00:00.000Z,PHONE,2009-04-29T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",98765267,-85.037399,35.9740409,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
41,4279,11531191,PROMPT FAMILY CARE - SOUTH,423-581-1479,1050 FRESHOUR STREET, ,MORRISTOWN,TN,37813,2210,HAMBLEN,47063,LOCATED ON THE WEST CORNER OF LINCOLN AVE AND FRESHOUR ST., , , ,2009-05-01T00:00:00.000Z,PHONE,2009-05-01T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",98821568,-83.2863497,36.2034496,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
42,4284,11531174,NATIONAL URGENT CARE CLINIC,615-325-1442,421 NORTH BROADWAY STREET, ,PORTLAND,TN,37148,1750,SUMNER,47165,"LOCATED ON THE NORTHEAST SIDE OF N BROADWAY ST, BETWEEN REED ST AND FREEDOM DR.", , , ,2009-04-30T00:00:00.000Z,PHONE,2009-04-30T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",98863278,-86.5196592,36.5864033,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
43,4285,11531175,FIRST FAMILY MEDICAL,731-925-1911,895 CLIFTON ROAD, ,SAVANNAH,TN,38372,1473,HARDIN,47071,LOCATED ON THE NORTH CORNER OF NORTHWOOD DR AND CLIFTON RD., , , ,2009-05-01T00:00:00.000Z,PHONE,2009-05-01T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",91096688,-88.2304741,35.2379303,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
44,4290,11241420,TAKOMA MEDICAL ASSOCIATES,423-278-1700,438 EAST VANN ROAD,SUITE 100,GREENEVILLE,TN,37743,7202,GREENE,47059,LOCATED ON THE NE CORNER OF SHEPHARD DR AND E VANN RD, , , ,2009-02-04T00:00:00.000Z,PHONE,2009-02-04T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",98646993,-82.8452682,36.1502247,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
45,4295,11531188,COMMUNITY CARE WALK IN CLINIC,865-590-0072,2317 SOUTH ROANE STREET, ,HARRIMAN,TN,37748,8653,ROANE,47145,"LOCATED ON THE SOUTHEAST SIDE OF S ROANE ST, BETWEEN BELL RD AND MARTIN RD.", , , ,2009-05-01T00:00:00.000Z,PHONE,2009-05-01T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",98780092,-84.6147438,35.8945486,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
46,4296,11531192,WEST WILSON WALK IN CLINIC,615-754-2828,4024 MOUNT JULIET ROAD, ,MOUNT JULIET,TN,37122,3086,WILSON,47189,LOCATED ON THE NORTHWEST CORNER OF SUNSET CIR AND N MT JULIET RD., , , ,2009-05-04T00:00:00.000Z,PHONE,2009-05-04T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",91128357,-86.5149107,36.2264498,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
47,4297,11531187,BARTLETT PLACE MEDICAL GROUP,423-587-2707,1907 WEST MORRIS BOULEVARD,SUITE B,MORRISTOWN,TN,37813,3866,HAMBLEN,47063,"LOCATED ON THE SOUTHWEST SIDE OF W MORRIS BLVD, BETWEEN MADEN DR AND S ECONOMY RD.", , , ,2009-05-01T00:00:00.000Z,PHONE,2009-05-01T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",91134076,-83.3179165,36.2026304,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
48,4298,11531185,ATHENS FAMILY PRACTICE WALK IN CLINIC,423-263-6444,872 UNITED STATES HIGHWAY 411,UNIT G,ETOWAH,TN,37331, ,MCMINN,47107,"LOCATED ON THE WEST SIDE OF US-33, BETWEEN GRADY RD AND TN-30.", , , ,2009-05-01T00:00:00.000Z,PHONE,2009-05-01T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",91146476,-84.5213401,35.3425608,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
49,4301,10194438,GREENEVILLE URGENT CARE,423-636-8891,1744 EAST ANDREW JOHNSON HIGHWAY, ,GREENEVILLE,TN,37745,4278,GREENE,47059,LOCATED ON THE S SIDE OF E ANDREW JOHNSON HWY BETWEEN LAFAYETTE ST AND CCU BLVD., , , ,2009-02-04T00:00:00.000Z,PHONE,2009-02-04T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",91123325,-82.792043,36.1767598,NAVTEQ,2008Q1,ONENTITY,YES,TGS,UC_3330
50,4306,11531189,SUN MEDICAL EXPRESS WALK IN CLINIC - HENDERSONVILLE,615-264-4860,711 EAST MAIN STREET,SUITE 107,HENDERSONVILLE,TN,37075,2741,SUMNER,47165,SE SIDE OF GALLATIN RD IN BETWEEN SAUNDERSVLLE RD AND CAUDILL DR., , , ,2009-05-01T00:00:00.000Z,PHONE,2009-05-01T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",91142279,-86.5627954,36.3256278,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
51,4307,11531202,DOCTORS OFFICE WALK IN CLINIC,615-453-3645,1430 WEST BADDOUR PARKWAY, ,LEBANON,TN,37087,2514,WILSON,47189,"LOCATED ON THE SOUTH SIDE OF W BADDOUR PKY, .4 MILES NORTHEAST OF W MAIN ST.", , , ,2009-05-04T00:00:00.000Z,PHONE,2009-05-04T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",124179836,-86.3300518,36.2190915,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
52,4309,11531161,ADVANCED FAMILY AND URGENT CARE CLINIC,931-438-8260,4114 THORNTON TAYLOR PARKWAY, ,FAYETTEVILLE,TN,37334,2662,LINCOLN,47103,"LOCATED ON THE WEST SIDE OF US-231, BETWEEN US-64 AND ADAMS ST.", , , ,2009-04-30T00:00:00.000Z,PHONE,2009-04-30T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",91121635,-86.5550558,35.1562121,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
53,4314,10422139,PARK MED URGENT CARE CENTER - OAK RIDGE,865-483-4040,115B SOUTH ILLINOIS AVENUE, ,OAK RIDGE,TN,37830,6202,ANDERSON,47001,LOC ON THE NORTHEAST SIDE OF THE T-INTERSECTION OF INCLINE LN & S ILLINOIS AVE., , , ,2009-02-02T00:00:00.000Z,PHONE,2009-02-02T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",98867568,-84.2656216,36.0099226,NAVTEQ,2008Q1,ONENTITY,YES,TGS,UC_3319
54,4315,10194197,BEDFORD URGENT CARE,931-680-8910,1612 NORTH MAIN STREET, ,SHELBYVILLE,TN,37160,2391,BEDFORD,47003,"LOC ON THE SOUTH SIDE OF ROLLING RD, LESS THAN .1 MILES EAST OF N MAIN ST.", , , ,2009-02-02T00:00:00.000Z,PHONE,2009-02-03T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",91098467,-86.4556863,35.5062233,NAVTEQ,2008Q1,ONENTITY,YES,TGS,UC_3361
55,4319,11531190,PORTLAND FAMILY CARE AND WALK IN CLINIC,615-323-1020,505 SOUTH BROADWAY, ,PORTLAND,TN,37148,1438,SUMNER,47165,"LOCATED ON THE WEST SIDE OF S BROADWAY, BETWEEN VILLAGE DR AND W KNIGHT ST.", , , ,2009-05-01T00:00:00.000Z,PHONE,2009-05-01T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",123894038,-86.5140033,36.5744513,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
56,4320,11531204,FAMILY MEDICAL ASSOCIATES,615-444-6203,1407 WEST BADDOUR PARKWAY, ,LEBANON,TN,37087,2513,WILSON,47189,"LOCATED ON NORTH SIDE OF W BADDOUR PKY, BETWEEN W MAIN ST AND BABB DR.", , , ,2009-05-04T00:00:00.000Z,PHONE,2009-05-04T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",124179835,-86.3293115,36.2198599,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
57,4322,11513049,PROHEALTH COMMUNITY CARE CLINIC - NASHVILLE,615-591-4750,393 WALLACE ROAD,BUILDING A 2ND FLOOR,NASHVILLE,TN,37211,4880,DAVIDSON,47037,LOC ON THE SOUTHEAST CORNER OF THE INTERSECTION OF WALLACE RD & NOLENSVILLE RD., , , ,2009-02-11T00:00:00.000Z,PHONE,2009-02-11T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",115726149,-86.722468,36.0761411,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
58,4339,11531137,HEALTHSTAR PHYSICIANS URGENT CARE CLINIC,423-586-2410,420 WEST MORRIS BOULEVARD,SUITE 400B,MORRISTOWN,TN,37813,2282,HAMBLEN,47063,LOCATED ON THE NORTHEAST CORNER OF S JACKSON ST AND W MORRIS BLVD., , , ,2009-04-29T00:00:00.000Z,PHONE,2009-04-29T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",91134068,-83.2948547,36.2103777,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
59,4340,11531166,FAMILY HEALTH GROUP WALK IN CLINIC,615-794-3414,5421 MAIN STREET,SUITE B,SPRING HILL,TN,37174,4410,MAURY,47119,LOCATED ON THE NW SIDE OF MAIN ST ABOUT .2 MI SW OF KEDRON RD., , , ,2009-04-30T00:00:00.000Z,PHONE,2009-04-30T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",98857051,-86.9374685,35.7458989,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
60,4362,11241482,SUN MEDICAL EXPRESS WALK IN CLINIC - MURFREESBORO,615-217-6900,2445 MEMORIAL BOULEVARD,SUITE C,MURFREESBORO,TN,37129,5156,RUTHERFORD,47149,"LOC ON THE WEST SIDE OF MEMORIAL BLVD, LESS THAN .1 MILES NORTH OF CASTLEWOOD CT.", , , ,2009-02-04T00:00:00.000Z,PHONE,2009-02-04T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",124167906,-86.3828221,35.8883717,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
61,4378,10422140,MADISON MINOR MEDICAL CENTER,615-868-9959,1114 GALLATIN PIKE NORTH, ,MADISON,TN,37115,2738,DAVIDSON,47037,LOC ON THE EAST SIDE OF THE T-INTERSECTION OF ONE MILE PKY & GALLATIN PIKE N., , , ,2009-02-03T00:00:00.000Z,PHONE,2009-02-03T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",124174357,-86.708492,36.2791674,NAVTEQ,2008Q1,ONENTITY,YES,TGS,UC_3321
62,4394,10468048,GET WELL CLINICS,615-896-1022,2705 OLD FORT PARKWAY,SUITE G,MURFREESBORO,TN,37128,5154,RUTHERFORD,47149,ON THE S SIDE OF OLD FORT PKY BETWEEN ST ANDREWS DR AND GRESHAM LN, , , ,2008-03-14T00:00:00.000Z,PHONE,2008-03-14T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",124170219,-86.4450692,35.8448861,NAVTEQ,2008Q1,BLOCKFACE,YES,TGS, 
63,4401,11513068,WALK IN MEDICAL CENTER OF COOL SPRINGS,615-771-8858,9040 CAROTHERS PARKWAY, ,FRANKLIN,TN,37067,6306,WILLIAMSON,47187,BETWEEN .1 AND .2 MILES SOUTH OF BAKER BRIDGE AVE ON THE EAST SIDE OF CAROTHERS PKY, , , ,2009-02-10T00:00:00.000Z,PHONE,2009-02-10T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",721149833,-86.802733,35.9564212,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
64,4409,10468043,PHYSICIANS CARE - HIXSON,423-875-0700,4490 HIXSON PIKE, ,HIXSON,TN,37343,5038,HAMILTON,47065,LOC ON THE SOUTHEAST CORNER OF THE T-INTERSECTION OF HAMILL RD & HIXSON PIKE., , , ,2009-02-05T00:00:00.000Z,PHONE,2009-02-05T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",87495146,-85.2493815,35.1181175,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
65,4454,10843902,CONCENTRA URGENT CARE - RIVERGATE,615-870-0143,1719 GALLATIN ROAD, ,MADISON,TN,37115,2123,DAVIDSON,47037,"LOC ON THE SOUTHWEST SIDE OF MYATT DR, LESS THAN .1 MILES SOUTHEAST OF GALLATIN RD.", , , ,2009-02-03T00:00:00.000Z,PHONE,2009-02-03T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",31414943,-86.6987327,36.2954378,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
66,4489,10422152,HALLS WALK-IN MEDICAL CENTER,865-922-1400,7000 MAYNARDVILLE PIKE, ,KNOXVILLE,TN,37918,5736,KNOX,47093,EAST SIDE OF MAYNARDSVILLE PIKE APPROX 0.02 MILES NORTH OF CUNNINGHAM ROAD, , , ,2008-02-05T00:00:00.000Z,PHONE,2008-01-28T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",24643798,-83.9275256,36.0751627,NAVTEQ,2008Q1,BLOCKFACE,YES,TGS,UC_3358
67,4497,10844084,CONCENTRA URGENT CARE - NASHVILLE SOUTH,615-837-4360,4300 SIDCO DRIVE, ,NASHVILLE,TN,37204,4537,DAVIDSON,47037,"LOC ON THE EAST SIDE OF SIDCO DR, LESS THAN .1 MILES SOUTH OF ELYSIAN FIELDS RD.", , , ,2009-02-04T00:00:00.000Z,PHONE,2009-02-04T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",115722596,-86.7611434,36.083947,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
68,4518,10194187,PHYSICIANS URGENT CARE,931-525-5454,225 NORTH WILLOW AVENUE, ,COOKEVILLE,TN,38501,2335,PUTNAM,47141,LOC ON THE SOUTHEAST CORNER OF THE INTERSECTION OF W 3RD ST & N WILLOW AVE., , , ,2009-02-09T00:00:00.000Z,PHONE,2009-02-09T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",91127965,-85.5120583,36.1672419,NAVTEQ,2008Q1,ONENTITY,YES,TGS,UC_3336
69,4519,10844081,CONCENTRA URGENT CARE - MURFREESBORO,615-895-4855,1203-A MEMORIAL BOULEVARD, ,MURFREESBORO,TN,37129,2420,RUTHERFORD,47149,"LOC ON THE NORTHWEST SIDE OF MEMORIAL BLVD, APPR .1 MILES SOUTHWEST OF W MCKNIGHT DR.", , , ,2009-02-04T00:00:00.000Z,PHONE,2009-02-04T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",124171650,-86.3927993,35.8588527,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
70,4541,10422149,TENNESSEE URGENT CARE ASSOCIATES - WHITE BRIDGE ROAD FACILITY,615-356-6877,339 WHITE BRIDGE PIKE, ,NASHVILLE,TN,37209,3208,DAVIDSON,47037,LOCATED AT THE SW CORNER OF LENOX AVE AND WHITE BRIDGE PIKE., , , ,2008-01-25T00:00:00.000Z,PHONE,2008-01-25T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",31396557,-86.8582834,36.1478121,NAVTEQ,2006Q4,ONENTITY,YES,TGS,UC_3344
71,4542,10468045,TENNESSEE URGENT CARE ASSOCIATES - RIVERGATE FACILITY,615-865-8500,1616 GALLATIN ROAD, ,MADISON,TN,37115,2104,DAVIDSON,47037,156 YARDS NORTHEAST OF ALTA LOMA RD ON THE NORTHWEST SIDE OF N GALLATIN RD., , , ,2008-03-14T00:00:00.000Z,PHONE,2008-03-14T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",31414999,-86.7020686,36.2944971,NAVTEQ,2006Q4,ONENTITY,YES,TGS, 
